"GEO_ID","NAME","B25137_001E","B25137_001M","B25137_002E","B25137_002M","B25137_003E","B25137_003M","B25137_004E","B25137_004M","B25137_005E","B25137_005M","B25137_006E","B25137_006M","B25137_007E","B25137_007M","B25137_008E","B25137_008M","B25137_009E","B25137_009M",
"Geography","Geographic Area Name","Estimate!!Total Housing Units:","Margin of Error!!Total Housing Units:","Estimate!!Total Housing Units:!!Occupied Units","Margin of Error!!Total Housing Units:!!Occupied Units","Estimate!!Total Housing Units:!!Occupied Units!!One or fewer bedrooms","Margin of Error!!Total Housing Units:!!Occupied Units!!One or fewer bedrooms","Estimate!!Total Housing Units:!!Occupied Units!!Two bedrooms","Margin of Error!!Total Housing Units:!!Occupied Units!!Two bedrooms","Estimate!!Total Housing Units:!!Occupied Units!!Three or more bedrooms","Margin of Error!!Total Housing Units:!!Occupied Units!!Three or more bedrooms","Estimate!!Total Housing Units:!!Vacant Units","Margin of Error!!Total Housing Units:!!Vacant Units","Estimate!!Total Housing Units:!!Vacant Units!!One or fewer bedrooms","Margin of Error!!Total Housing Units:!!Vacant Units!!One or fewer bedrooms","Estimate!!Total Housing Units:!!Vacant Units!!Two bedrooms","Margin of Error!!Total Housing Units:!!Vacant Units!!Two bedrooms","Estimate!!Total Housing Units:!!Vacant Units!!Three or more bedrooms","Margin of Error!!Total Housing Units:!!Vacant Units!!Three or more bedrooms",
"0500000US39035","Cuyahoga County, Ohio","615513","271","554173","1923","83185","2309","142315","2507","328673","2891","61340","1970","14927","1013","22449","970","23964","1365",
"1400000US39035101101","Census Tract 1011.01; Cuyahoga County; Ohio","1131","149","977","160","405","119","265","113","307","79","154","56","68","38","77","49","9","17",
"1400000US39035101102","Census Tract 1011.02; Cuyahoga County; Ohio","2900","349","2545","375","1122","313","802","367","621","141","355","160","209","141","146","117","0","13",
"1400000US39035101201","Census Tract 1012.01; Cuyahoga County; Ohio","1917","231","1656","240","899","239","368","100","389","122","261","123","60","55","69","62","132","92",
"1400000US39035101300","Census Tract 1013; Cuyahoga County; Ohio","1181","121","1019","119","462","132","401","121","156","53","162","76","91","67","66","51","5","10",
"1400000US39035101400","Census Tract 1014; Cuyahoga County; Ohio","925","84","675","110","40","31","336","102","299","68","250","94","59","43","109","69","82","49",
"1400000US39035101501","Census Tract 1015.01; Cuyahoga County; Ohio","996","99","847","111","156","64","399","115","292","72","149","67","51","37","65","49","33","33",
"1400000US39035101603","Census Tract 1016.03; Cuyahoga County; Ohio","1171","173","907","184","135","87","262","138","510","90","264","97","92","59","100","55","72","48",
"1400000US39035101700","Census Tract 1017; Cuyahoga County; Ohio","1485","428","1363","423","534","421","365","152","464","131","122","72","60","40","44","52","18","30",
"1400000US39035101800","Census Tract 1018; Cuyahoga County; Ohio","1190","168","938","164","206","94","242","129","490","126","252","92","111","66","126","73","15","23",
"1400000US39035101901","Census Tract 1019.01; Cuyahoga County; Ohio","692","94","558","90","42","29","243","80","273","91","134","66","0","13","121","63","13","22",
