"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25004_001E","Estimate!!Total:"
"B25004_001M","Margin of Error!!Total:"
"B25004_002E","Estimate!!Total:!!For rent"
"B25004_002M","Margin of Error!!Total:!!For rent"
"B25004_003E","Estimate!!Total:!!Rented, not occupied"
"B25004_003M","Margin of Error!!Total:!!Rented, not occupied"
"B25004_004E","Estimate!!Total:!!For sale only"
"B25004_004M","Margin of Error!!Total:!!For sale only"
"B25004_005E","Estimate!!Total:!!Sold, not occupied"
"B25004_005M","Margin of Error!!Total:!!Sold, not occupied"
"B25004_006E","Estimate!!Total:!!For seasonal, recreational, or occasional use"
"B25004_006M","Margin of Error!!Total:!!For seasonal, recreational, or occasional use"
"B25004_007E","Estimate!!Total:!!For migrant workers"
"B25004_007M","Margin of Error!!Total:!!For migrant workers"
"B25004_008E","Estimate!!Total:!!Other vacant"
"B25004_008M","Margin of Error!!Total:!!Other vacant"
