"GEO_ID","NAME","B25136_001E","B25136_001M","B25136_002E","B25136_002M","B25136_003E","B25136_003M","B25136_004E","B25136_004M","B25136_005E","B25136_005M","B25136_006E","B25136_006M","B25136_007E","B25136_007M","B25136_008E","B25136_008M","B25136_009E","B25136_009M","B25136_010E","B25136_010M","B25136_011E","B25136_011M","B25136_012E","B25136_012M","B25136_013E","B25136_013M",
"Geography","Geographic Area Name","Estimate!!Total Housing Units:","Margin of Error!!Total Housing Units:","Estimate!!Total Housing Units:!!Occupied Units","Margin of Error!!Total Housing Units:!!Occupied Units","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, detached","Estimate!!Total Housing Units:!!Occupied Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Occupied Units!!1-unit, attached","Estimate!!Total Housing Units:!!Occupied Units!!2-9 units","Margin of Error!!Total Housing Units:!!Occupied Units!!2-9 units","Estimate!!Total Housing Units:!!Occupied Units!!10 or more units","Margin of Error!!Total Housing Units:!!Occupied Units!!10 or more units","Estimate!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Margin of Error!!Total Housing Units:!!Occupied Units!!Mobile home, Boat, RV, Van, etc.","Estimate!!Total Housing Units:!!Vacant Units","Margin of Error!!Total Housing Units:!!Vacant Units","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, detached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, detached","Estimate!!Total Housing Units:!!Vacant Units!!1-unit, attached","Margin of Error!!Total Housing Units:!!Vacant Units!!1-unit, attached","Estimate!!Total Housing Units:!!Vacant Units!!2-9 units","Margin of Error!!Total Housing Units:!!Vacant Units!!2-9 units","Estimate!!Total Housing Units:!!Vacant Units!!10 or more units","Margin of Error!!Total Housing Units:!!Vacant Units!!10 or more units","Estimate!!Total Housing Units:!!Vacant Units!!Mobile home","Margin of Error!!Total Housing Units:!!Vacant Units!!Mobile home",
"0500000US39035","Cuyahoga County, Ohio","615513","271","554173","1923","342678","2291","28955","1243","75082","1831","104549","2279","2909","345","61340","1970","23451","1351","3902","439","17495","957","15840","1127","652","196",
"1400000US39035103300","Census Tract 1033; Cuyahoga County; Ohio","1520","234","1302","240","32","35","18","29","386","113","866","247","0","13","218","119","0","13","0","13","46","52","172","107","0","13",
"1400000US39035103500","Census Tract 1035; Cuyahoga County; Ohio","968","81","761","99","443","85","14","15","283","75","21","17","0","13","207","71","73","61","0","13","134","70","0","13","0","13",
"1400000US39035103602","Census Tract 1036.02; Cuyahoga County; Ohio","2618","273","2224","270","285","113","282","136","485","197","1172","223","0","13","394","182","0","13","14","22","168","133","212","135","0","13",
"1400000US39035103800","Census Tract 1038; Cuyahoga County; Ohio","875","102","629","114","362","91","24","28","219","82","24","17","0","13","246","69","46","40","13","20","168","68","19","23","0","13",
"1400000US39035104400","Census Tract 1044; Cuyahoga County; Ohio","825","92","734","88","324","71","52","33","191","61","167","64","0","13","91","67","33","38","0","13","58","64","0","13","0","13",
"1400000US39035104800","Census Tract 1048; Cuyahoga County; Ohio","863","96","734","105","278","79","150","61","209","81","97","47","0","13","129","70","46","45","0","13","70","49","13","21","0","13",
"1400000US39035105100","Census Tract 1051; Cuyahoga County; Ohio","1863","339","1534","360","782","267","121","89","517","262","0","13","114","74","329","129","82","71","29","46","218","105","0","13","0","13",
"1400000US39035105300","Census Tract 1053; Cuyahoga County; Ohio","1444","187","1185","191","685","163","26","24","463","145","11","18","0","13","259","117","42","51","20","33","197","107","0","13","0","13",
"1400000US39035105400","Census Tract 1054; Cuyahoga County; Ohio","1718","177","1351","232","651","176","265","147","379","170","26","28","30","48","367","130","149","93","41","57","95","86","82","74","0","13",
"1400000US39035105500","Census Tract 1055; Cuyahoga County; Ohio","1053","142","796","138","277","75","48","31","219","137","252","82","0","13","257","105","124","81","0","13","33","41","100","65","0","13",
"1400000US39035105602","Census Tract 1056.02; Cuyahoga County; Ohio","1124","222","879","195","481","115","23","15","267","164","108","50","0","13","245","96","0","13","0","13","99","63","130","66","16","24",
"1400000US39035105700","Census Tract 1057; Cuyahoga County; Ohio","2478","310","2129","297","1012","245","15","27","182","136","920","290","0","13","349","224","42","67","0","13","90","143","217","169","0","13",
"1400000US39035105900","Census Tract 1059; Cuyahoga County; Ohio","1462","164","1207","175","982","155","6","10","140","89","18","26","61","47","255","115","89","68","0","13","25","28","69","73","72","70",
"1400000US39035106100","Census Tract 1061; Cuyahoga County; Ohio","1686","176","1686","176","1314","153","42","61","213","138","117","98","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US39035106200","Census Tract 1062; Cuyahoga County; Ohio","1760","176","1667","181","1123","205","146","71","376","140","12","21","10","19","93","71","64","59","29","43","0","13","0","13","0","13",
"1400000US39035106500","Census Tract 1065; Cuyahoga County; Ohio","1140","139","1060","151","835","150","0","13","160","96","65","41","0","13","80","67","51","55","0","13","29","44","0","13","0","13",
"1400000US39035106600","Census Tract 1066; Cuyahoga County; Ohio","1428","126","1294","142","915","132","30","35","272","122","77","84","0","13","134","86","106","82","0","13","28","44","0","13","0","13",
"1400000US39035106800","Census Tract 1068; Cuyahoga County; Ohio","1547","213","1253","221","653","177","104","132","297","111","199","80","0","13","294","126","24","29","74","79","160","93","36","50","0","13",
"1400000US39035106900","Census Tract 1069; Cuyahoga County; Ohio","1978","151","1634","187","1019","174","63","74","218","74","334","115","0","13","344","149","158","94","0","13","138","110","48","59","0","13",
"1400000US39035107000","Census Tract 1070; Cuyahoga County; Ohio","790","89","769","76","532","94","206","60","31","28","0","13","0","13","21","34","0","13","0","13","21","34","0","13","0","13",
"1400000US39035107101","Census Tract 1071.01; Cuyahoga County; Ohio","2070","171","1782","157","46","76","0","13","11","16","1725","176","0","13","288","170","0","13","0","13","0","13","288","170","0","13",
"1400000US39035107701","Census Tract 1077.01; Cuyahoga County; Ohio","4205","317","3380","304","22","36","7","10","129","126","3222","335","0","18","825","237","0","18","0","18","0","18","825","237","0","18",
"1400000US39035107802","Census Tract 1078.02; Cuyahoga County; Ohio","2533","229","1982","258","105","95","111","60","23","36","1725","260","18","29","551","235","0","13","0","13","0","13","551","235","0","13",
"1400000US39035108201","Census Tract 1082.01; Cuyahoga County; Ohio","1244","180","894","196","92","47","86","56","182","105","534","164","0","13","350","109","125","72","51","46","87","69","87","59","0","13",
"1400000US39035108301","Census Tract 1083.01; Cuyahoga County; Ohio","947","69","770","88","191","50","75","49","69","46","419","82","16","26","177","69","13","21","16","25","49","39","99","55","0","13",
"1400000US39035108400","Census Tract 1084; Cuyahoga County; Ohio","627","97","538","104","234","69","72","58","173","95","52","24","7","10","89","59","22","27","24","29","43","40","0","13","0","13",
"1400000US39035108701","Census Tract 1087.01; Cuyahoga County; Ohio","2097","264","1926","276","384","154","100","81","849","208","593","249","0","13","171","109","28","46","0","13","0","13","143","99","0","13",
"1400000US39035109301","Census Tract 1093.01; Cuyahoga County; Ohio","928","208","884","205","143","46","31","36","31","25","679","197","0","13","44","35","0","13","0","13","0","13","44","35","0","13",
"1400000US39035109701","Census Tract 1097.01; Cuyahoga County; Ohio","729","121","698","125","21","33","455","145","75","65","147","79","0","13","31","26","0","13","18","18","13","20","0","13","0","13",
"1400000US39035109801","Census Tract 1098.01; Cuyahoga County; Ohio","956","244","905","243","130","86","50","58","326","91","399","255","0","13","51","50","9","16","0","13","9","16","33","43","0","13",
"1400000US39035110901","Census Tract 1109.01; Cuyahoga County; Ohio","1280","278","1154","282","867","287","17","27","232","111","38","60","0","13","126","89","61","67","0","13","65","67","0","13","0","13",
"1400000US39035111202","Census Tract 1112.02; Cuyahoga County; Ohio","760","105","427","124","112","46","28","25","243","87","44","76","0","13","333","86","76","49","29","27","175","59","53","41","0","13",
"1400000US39035111401","Census Tract 1114.01; Cuyahoga County; Ohio","597","99","444","100","185","82","135","53","81","52","43","47","0","13","153","62","53","40","35","32","65","42","0","13","0","13",
"1400000US39035111700","Census Tract 1117; Cuyahoga County; Ohio","617","96","340","87","200","70","60","58","53","46","25","38","2","7","277","73","97","42","56","44","124","58","0","13","0","13",
"1400000US39035112100","Census Tract 1121; Cuyahoga County; Ohio","1092","193","887","208","282","181","105","65","145","62","355","125","0","13","205","86","33","48","41","44","119","64","12","18","0","13",
"1400000US39035112200","Census Tract 1122; Cuyahoga County; Ohio","410","97","310","80","190","77","56","66","50","47","14","21","0","13","100","66","0","13","23","38","51","53","26","41","0","13",
"1400000US39035112301","Census Tract 1123.01; Cuyahoga County; Ohio","860","262","815","258","175","64","99","69","116","57","425","247","0","13","45","41","14","24","0","13","17","26","14","22","0","13",
"1400000US39035114501","Census Tract 1145.01; Cuyahoga County; Ohio","493","68","371","67","250","59","13","19","96","62","0","13","12","19","122","70","69","47","0","13","53","49","0","13","0","13",
"1400000US39035114600","Census Tract 1146; Cuyahoga County; Ohio","653","206","566","201","340","182","17","26","180","95","27","28","2","5","87","43","30","29","3","6","54","47","0","13","0","13",
"1400000US39035114800","Census Tract 1148; Cuyahoga County; Ohio","930","138","886","143","351","178","10","17","338","141","187","88","0","13","44","36","0","13","0","13","23","28","21","24","0","13",
"1400000US39035115400","Census Tract 1154; Cuyahoga County; Ohio","1130","105","913","129","309","75","64","39","470","129","70","66","0","13","217","68","49","41","0","13","168","71","0","13","0","13",
"1400000US39035115700","Census Tract 1157; Cuyahoga County; Ohio","889","237","781","246","363","161","24","34","358","211","36","50","0","13","108","56","11","19","0","13","63","43","34","37","0","13",
