"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0500000US39035","Cuyahoga County, Ohio","615513","271","554173","1923","61340","1970",
"1400000US39035101101","Census Tract 1011.01; Cuyahoga County; Ohio","1131","149","977","160","154","56",
"1400000US39035101102","Census Tract 1011.02; Cuyahoga County; Ohio","2900","349","2545","375","355","160",
"1400000US39035101201","Census Tract 1012.01; Cuyahoga County; Ohio","1917","231","1656","240","261","123",
"1400000US39035101300","Census Tract 1013; Cuyahoga County; Ohio","1181","121","1019","119","162","76",
"1400000US39035101400","Census Tract 1014; Cuyahoga County; Ohio","925","84","675","110","250","94",
"1400000US39035101501","Census Tract 1015.01; Cuyahoga County; Ohio","996","99","847","111","149","67",
"1400000US39035101603","Census Tract 1016.03; Cuyahoga County; Ohio","1171","173","907","184","264","97",
"1400000US39035101700","Census Tract 1017; Cuyahoga County; Ohio","1485","428","1363","423","122","72",
"1400000US39035101800","Census Tract 1018; Cuyahoga County; Ohio","1190","168","938","164","252","92",
"1400000US39035101901","Census Tract 1019.01; Cuyahoga County; Ohio","692","94","558","90","134","66",
"1400000US39035102101","Census Tract 1021.01; Cuyahoga County; Ohio","1583","132","1387","122","196","94",
"1400000US39035102102","Census Tract 1021.02; Cuyahoga County; Ohio","1289","141","1192","151","97","73",
"1400000US39035102200","Census Tract 1022; Cuyahoga County; Ohio","1450","201","1293","195","157","99",
"1400000US39035102300","Census Tract 1023; Cuyahoga County; Ohio","944","147","748","157","196","82",
"1400000US39035102401","Census Tract 1024.01; Cuyahoga County; Ohio","797","138","640","129","157","70",
"1400000US39035102402","Census Tract 1024.02; Cuyahoga County; Ohio","1231","177","1080","190","151","94",
"1400000US39035102700","Census Tract 1027; Cuyahoga County; Ohio","1639","153","1374","180","265","121",
"1400000US39035102800","Census Tract 1028; Cuyahoga County; Ohio","757","127","634","134","123","60",
"1400000US39035102900","Census Tract 1029; Cuyahoga County; Ohio","793","69","667","78","126","53",
"1400000US39035103300","Census Tract 1033; Cuyahoga County; Ohio","1520","234","1302","240","218","119",
"1400000US39035103500","Census Tract 1035; Cuyahoga County; Ohio","968","81","761","99","207","71",
"1400000US39035103602","Census Tract 1036.02; Cuyahoga County; Ohio","2618","273","2224","270","394","182",
"1400000US39035103800","Census Tract 1038; Cuyahoga County; Ohio","875","102","629","114","246","69",
