"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25140_001E","Estimate!!Total:"
"B25140_001M","Margin of Error!!Total:"
"B25140_002E","Estimate!!Total:!!Owned Units with a Mortgage"
"B25140_002M","Margin of Error!!Total:!!Owned Units with a Mortgage"
"B25140_003E","Estimate!!Total:!!Owned Units with a Mortgage!!Over 30 Percent"
"B25140_003M","Margin of Error!!Total:!!Owned Units with a Mortgage!!Over 30 Percent"
"B25140_004E","Estimate!!Total:!!Owned Units with a Mortgage!!Over 50 Percent"
"B25140_004M","Margin of Error!!Total:!!Owned Units with a Mortgage!!Over 50 Percent"
"B25140_005E","Estimate!!Total:!!Owned Units with a Mortgage!!Not Calculated"
"B25140_005M","Margin of Error!!Total:!!Owned Units with a Mortgage!!Not Calculated"
"B25140_006E","Estimate!!Total:!!Owned Units without a Mortgage"
"B25140_006M","Margin of Error!!Total:!!Owned Units without a Mortgage"
"B25140_007E","Estimate!!Total:!!Owned Units without a Mortgage!!Over 30 Percent"
"B25140_007M","Margin of Error!!Total:!!Owned Units without a Mortgage!!Over 30 Percent"
"B25140_008E","Estimate!!Total:!!Owned Units without a Mortgage!!Over 50 Percent"
"B25140_008M","Margin of Error!!Total:!!Owned Units without a Mortgage!!Over 50 Percent"
"B25140_009E","Estimate!!Total:!!Owned Units without a Mortgage!!Not Calculated"
"B25140_009M","Margin of Error!!Total:!!Owned Units without a Mortgage!!Not Calculated"
"B25140_010E","Estimate!!Total:!!Rented"
"B25140_010M","Margin of Error!!Total:!!Rented"
"B25140_011E","Estimate!!Total:!!Rented!!Over 30 Percent"
"B25140_011M","Margin of Error!!Total:!!Rented!!Over 30 Percent"
"B25140_012E","Estimate!!Total:!!Rented!!Over 50 Percent"
"B25140_012M","Margin of Error!!Total:!!Rented!!Over 50 Percent"
"B25140_013E","Estimate!!Total:!!Rented!!Not Calculated"
"B25140_013M","Margin of Error!!Total:!!Rented!!Not Calculated"
