"GEO_ID","NAME","B25140_001E","B25140_001M","B25140_002E","B25140_002M","B25140_003E","B25140_003M","B25140_004E","B25140_004M","B25140_005E","B25140_005M","B25140_006E","B25140_006M","B25140_007E","B25140_007M","B25140_008E","B25140_008M","B25140_009E","B25140_009M","B25140_010E","B25140_010M","B25140_011E","B25140_011M","B25140_012E","B25140_012M","B25140_013E","B25140_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owned Units with a Mortgage","Margin of Error!!Total:!!Owned Units with a Mortgage","Estimate!!Total:!!Owned Units with a Mortgage!!Over 30 Percent","Margin of Error!!Total:!!Owned Units with a Mortgage!!Over 30 Percent","Estimate!!Total:!!Owned Units with a Mortgage!!Over 50 Percent","Margin of Error!!Total:!!Owned Units with a Mortgage!!Over 50 Percent","Estimate!!Total:!!Owned Units with a Mortgage!!Not Calculated","Margin of Error!!Total:!!Owned Units with a Mortgage!!Not Calculated","Estimate!!Total:!!Owned Units without a Mortgage","Margin of Error!!Total:!!Owned Units without a Mortgage","Estimate!!Total:!!Owned Units without a Mortgage!!Over 30 Percent","Margin of Error!!Total:!!Owned Units without a Mortgage!!Over 30 Percent","Estimate!!Total:!!Owned Units without a Mortgage!!Over 50 Percent","Margin of Error!!Total:!!Owned Units without a Mortgage!!Over 50 Percent","Estimate!!Total:!!Owned Units without a Mortgage!!Not Calculated","Margin of Error!!Total:!!Owned Units without a Mortgage!!Not Calculated","Estimate!!Total:!!Rented","Margin of Error!!Total:!!Rented","Estimate!!Total:!!Rented!!Over 30 Percent","Margin of Error!!Total:!!Rented!!Over 30 Percent","Estimate!!Total:!!Rented!!Over 50 Percent","Margin of Error!!Total:!!Rented!!Over 50 Percent","Estimate!!Total:!!Rented!!Not Calculated","Margin of Error!!Total:!!Rented!!Not Calculated",
"0500000US39035","Cuyahoga County, Ohio","554173","1923","193821","2550","43529","1586","18207","935","1396","439","133435","2352","19558","1142","9610","859","1694","287","226917","2928","94986","2451","50553","1834","16340","1170",
"1400000US39035101101","Census Tract 1011.01; Cuyahoga County; Ohio","977","160","133","53","39","44","21","34","11","17","110","43","6","14","6","14","0","13","734","155","262","101","117","62","7","10",
"1400000US39035101102","Census Tract 1011.02; Cuyahoga County; Ohio","2545","375","693","325","69","68","69","68","196","305","274","136","61","69","0","13","0","13","1578","288","565","208","312","165","23","33",
"1400000US39035101201","Census Tract 1012.01; Cuyahoga County; Ohio","1656","240","328","105","53","45","16","28","0","13","103","44","7","10","0","13","0","13","1225","246","537","199","363","193","28","24",
"1400000US39035101300","Census Tract 1013; Cuyahoga County; Ohio","1019","119","49","29","18","15","12","12","0","13","41","26","0","13","0","13","0","13","929","125","334","90","158","61","25","19",
"1400000US39035101400","Census Tract 1014; Cuyahoga County; Ohio","675","110","164","65","14","17","5","8","0","13","158","66","20","16","4","7","0","13","353","114","200","107","129","77","23","21",
"1400000US39035101501","Census Tract 1015.01; Cuyahoga County; Ohio","847","111","143","65","59","45","54","44","0","13","59","29","5","9","5","9","0","13","645","104","336","89","183","76","64","68",
"1400000US39035101603","Census Tract 1016.03; Cuyahoga County; Ohio","907","184","209","78","71","57","38","33","0","13","234","75","27","22","13","15","0","13","464","152","176","90","16","18","92","107",
"1400000US39035101700","Census Tract 1017; Cuyahoga County; Ohio","1363","423","123","64","15","25","15","25","39","34","138","59","39","40","24","31","0","13","1102","420","341","143","217","112","378","425",
"1400000US39035101800","Census Tract 1018; Cuyahoga County; Ohio","938","164","128","85","75","69","35","49","0","13","252","74","37","48","11","22","12","18","558","156","232","95","171","89","64","82",
"1400000US39035101901","Census Tract 1019.01; Cuyahoga County; Ohio","558","90","198","84","55","44","52","44","0","13","68","40","0","13","0","13","0","13","292","89","100","54","30","26","84","64",
"1400000US39035102101","Census Tract 1021.01; Cuyahoga County; Ohio","1387","122","254","97","86","53","39","31","0","13","152","67","24","23","7","11","0","13","981","164","371","123","232","120","282","131",
