"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US39035101101","Census Tract 1011.01; Cuyahoga County; Ohio","1964","414",
"1400000US39035101102","Census Tract 1011.02; Cuyahoga County; Ohio","3831","513",
"1400000US39035101201","Census Tract 1012.01; Cuyahoga County; Ohio","2717","405",
"1400000US39035101300","Census Tract 1013; Cuyahoga County; Ohio","1770","224",
"1400000US39035101400","Census Tract 1014; Cuyahoga County; Ohio","1750","317",
"1400000US39035101501","Census Tract 1015.01; Cuyahoga County; Ohio","1993","304",
"1400000US39035101603","Census Tract 1016.03; Cuyahoga County; Ohio","2000","440",
"1400000US39035101700","Census Tract 1017; Cuyahoga County; Ohio","2923","617",
"1400000US39035101800","Census Tract 1018; Cuyahoga County; Ohio","2279","360",
"1400000US39035101901","Census Tract 1019.01; Cuyahoga County; Ohio","1433","260",
"1400000US39035102101","Census Tract 1021.01; Cuyahoga County; Ohio","3440","410",
"1400000US39035102102","Census Tract 1021.02; Cuyahoga County; Ohio","2695","526",
"1400000US39035102200","Census Tract 1022; Cuyahoga County; Ohio","3153","487",
"1400000US39035102300","Census Tract 1023; Cuyahoga County; Ohio","1687","380",
"1400000US39035102401","Census Tract 1024.01; Cuyahoga County; Ohio","1831","351",
"1400000US39035102402","Census Tract 1024.02; Cuyahoga County; Ohio","2759","662",
"1400000US39035102700","Census Tract 1027; Cuyahoga County; Ohio","3370","603",
"1400000US39035102800","Census Tract 1028; Cuyahoga County; Ohio","1804","368",
"1400000US39035102900","Census Tract 1029; Cuyahoga County; Ohio","2090","370",
"1400000US39035103300","Census Tract 1033; Cuyahoga County; Ohio","2244","495",
"1400000US39035103500","Census Tract 1035; Cuyahoga County; Ohio","1417","246",
"1400000US39035103602","Census Tract 1036.02; Cuyahoga County; Ohio","3623","492",
"1400000US39035103800","Census Tract 1038; Cuyahoga County; Ohio","1412","316",
"1400000US39035104400","Census Tract 1044; Cuyahoga County; Ohio","1165","161",
"1400000US39035104800","Census Tract 1048; Cuyahoga County; Ohio","1586","342",
"1400000US39035105100","Census Tract 1051; Cuyahoga County; Ohio","3292","576",
"1400000US39035105300","Census Tract 1053; Cuyahoga County; Ohio","3641","722",
"1400000US39035105400","Census Tract 1054; Cuyahoga County; Ohio","2920","516",
"1400000US39035105500","Census Tract 1055; Cuyahoga County; Ohio","1849","411",
"1400000US39035105602","Census Tract 1056.02; Cuyahoga County; Ohio","2010","364",
"1400000US39035105700","Census Tract 1057; Cuyahoga County; Ohio","3763","561",
"1400000US39035105900","Census Tract 1059; Cuyahoga County; Ohio","2584","447",
"1400000US39035106100","Census Tract 1061; Cuyahoga County; Ohio","3795","471",
"1400000US39035106200","Census Tract 1062; Cuyahoga County; Ohio","3652","922",
"1400000US39035106500","Census Tract 1065; Cuyahoga County; Ohio","2633","651",
"1400000US39035106600","Census Tract 1066; Cuyahoga County; Ohio","3395","512",
"1400000US39035106800","Census Tract 1068; Cuyahoga County; Ohio","2846","495",
"1400000US39035106900","Census Tract 1069; Cuyahoga County; Ohio","3370","468",
"1400000US39035107000","Census Tract 1070; Cuyahoga County; Ohio","1528","215",
"1400000US39035107101","Census Tract 1071.01; Cuyahoga County; Ohio","4160","455",
"1400000US39035107701","Census Tract 1077.01; Cuyahoga County; Ohio","5263","389",
"1400000US39035107802","Census Tract 1078.02; Cuyahoga County; Ohio","4352","615",
"1400000US39035108201","Census Tract 1082.01; Cuyahoga County; Ohio","1342","276",
"1400000US39035108301","Census Tract 1083.01; Cuyahoga County; Ohio","1400","188",
"1400000US39035108400","Census Tract 1084; Cuyahoga County; Ohio","1136","271",
"1400000US39035108701","Census Tract 1087.01; Cuyahoga County; Ohio","4851","677",
"1400000US39035109301","Census Tract 1093.01; Cuyahoga County; Ohio","1332","327",
"1400000US39035109701","Census Tract 1097.01; Cuyahoga County; Ohio","2829","573",
"1400000US39035109801","Census Tract 1098.01; Cuyahoga County; Ohio","2168","694",
"1400000US39035110901","Census Tract 1109.01; Cuyahoga County; Ohio","2602","587",
"1400000US39035111202","Census Tract 1112.02; Cuyahoga County; Ohio","716","210",
"1400000US39035111401","Census Tract 1114.01; Cuyahoga County; Ohio","808","191",
"1400000US39035111700","Census Tract 1117; Cuyahoga County; Ohio","688","353",
"1400000US39035112100","Census Tract 1121; Cuyahoga County; Ohio","1618","425",
"1400000US39035112200","Census Tract 1122; Cuyahoga County; Ohio","752","229",
"1400000US39035112301","Census Tract 1123.01; Cuyahoga County; Ohio","1503","362",
"1400000US39035114501","Census Tract 1145.01; Cuyahoga County; Ohio","723","173",
"1400000US39035114600","Census Tract 1146; Cuyahoga County; Ohio","1232","412",
"1400000US39035114800","Census Tract 1148; Cuyahoga County; Ohio","2433","559",
"1400000US39035115400","Census Tract 1154; Cuyahoga County; Ohio","2213","424",
"1400000US39035115700","Census Tract 1157; Cuyahoga County; Ohio","1651","481",
"1400000US39035115800","Census Tract 1158; Cuyahoga County; Ohio","2582","619",
"1400000US39035115900","Census Tract 1159; Cuyahoga County; Ohio","3848","680",
"1400000US39035116300","Census Tract 1163; Cuyahoga County; Ohio","1167","309",
"1400000US39035116400","Census Tract 1164; Cuyahoga County; Ohio","2508","437",
"1400000US39035116500","Census Tract 1165; Cuyahoga County; Ohio","2548","583",
"1400000US39035116600","Census Tract 1166; Cuyahoga County; Ohio","1915","529",
"1400000US39035116700","Census Tract 1167; Cuyahoga County; Ohio","1695","421",
"1400000US39035116800","Census Tract 1168; Cuyahoga County; Ohio","1428","371",
"1400000US39035116900","Census Tract 1169; Cuyahoga County; Ohio","1345","595",
"1400000US39035117101","Census Tract 1171.01; Cuyahoga County; Ohio","2369","791",
"1400000US39035117102","Census Tract 1171.02; Cuyahoga County; Ohio","786","175",
"1400000US39035117201","Census Tract 1172.01; Cuyahoga County; Ohio","3063","447",
"1400000US39035117203","Census Tract 1172.03; Cuyahoga County; Ohio","1957","384",
"1400000US39035117300","Census Tract 1173; Cuyahoga County; Ohio","2015","322",
"1400000US39035117400","Census Tract 1174; Cuyahoga County; Ohio","1439","228",
"1400000US39035117500","Census Tract 1175; Cuyahoga County; Ohio","2268","699",
"1400000US39035117600","Census Tract 1176; Cuyahoga County; Ohio","3659","618",
"1400000US39035117700","Census Tract 1177; Cuyahoga County; Ohio","4851","729",
"1400000US39035117800","Census Tract 1178; Cuyahoga County; Ohio","1861","257",
"1400000US39035117900","Census Tract 1179; Cuyahoga County; Ohio","2301","595",
"1400000US39035118101","Census Tract 1181.01; Cuyahoga County; Ohio","1681","384",
"1400000US39035118200","Census Tract 1182; Cuyahoga County; Ohio","2092","687",
"1400000US39035118301","Census Tract 1183.01; Cuyahoga County; Ohio","2829","821",
"1400000US39035118602","Census Tract 1186.02; Cuyahoga County; Ohio","1411","255",
"1400000US39035118800","Census Tract 1188; Cuyahoga County; Ohio","2888","406",
"1400000US39035118900","Census Tract 1189; Cuyahoga County; Ohio","1376","336",
"1400000US39035119401","Census Tract 1194.01; Cuyahoga County; Ohio","2483","553",
"1400000US39035119402","Census Tract 1194.02; Cuyahoga County; Ohio","1441","285",
"1400000US39035119501","Census Tract 1195.01; Cuyahoga County; Ohio","2343","568",
"1400000US39035119502","Census Tract 1195.02; Cuyahoga County; Ohio","1631","208",
"1400000US39035119600","Census Tract 1196; Cuyahoga County; Ohio","2201","472",
"1400000US39035119701","Census Tract 1197.01; Cuyahoga County; Ohio","2308","490",
"1400000US39035119702","Census Tract 1197.02; Cuyahoga County; Ohio","1544","341",
"1400000US39035119800","Census Tract 1198; Cuyahoga County; Ohio","3167","1141",
"1400000US39035119900","Census Tract 1199; Cuyahoga County; Ohio","1794","534",
"1400000US39035120200","Census Tract 1202; Cuyahoga County; Ohio","1293","252",
"1400000US39035120400","Census Tract 1204; Cuyahoga County; Ohio","1155","329",
"1400000US39035120500","Census Tract 1205; Cuyahoga County; Ohio","1690","427",
"1400000US39035120600","Census Tract 1206; Cuyahoga County; Ohio","1848","610",
"1400000US39035120701","Census Tract 1207.01; Cuyahoga County; Ohio","1106","609",
"1400000US39035120702","Census Tract 1207.02; Cuyahoga County; Ohio","1231","240",
"1400000US39035120801","Census Tract 1208.01; Cuyahoga County; Ohio","1433","293",
"1400000US39035120802","Census Tract 1208.02; Cuyahoga County; Ohio","2112","653",
"1400000US39035121100","Census Tract 1211; Cuyahoga County; Ohio","1741","551",
"1400000US39035121200","Census Tract 1212; Cuyahoga County; Ohio","1176","302",
"1400000US39035121300","Census Tract 1213; Cuyahoga County; Ohio","2185","486",
"1400000US39035121401","Census Tract 1214.01; Cuyahoga County; Ohio","1249","253",
"1400000US39035121403","Census Tract 1214.03; Cuyahoga County; Ohio","2248","568",
"1400000US39035121500","Census Tract 1215; Cuyahoga County; Ohio","2341","404",
"1400000US39035121700","Census Tract 1217; Cuyahoga County; Ohio","4719","892",
"1400000US39035121800","Census Tract 1218; Cuyahoga County; Ohio","1473","282",
"1400000US39035121900","Census Tract 1219; Cuyahoga County; Ohio","877","249",
"1400000US39035122100","Census Tract 1221; Cuyahoga County; Ohio","3051","435",
"1400000US39035122200","Census Tract 1222; Cuyahoga County; Ohio","1780","353",
"1400000US39035122300","Census Tract 1223; Cuyahoga County; Ohio","1676","327",
"1400000US39035123100","Census Tract 1231; Cuyahoga County; Ohio","2651","381",
"1400000US39035123200","Census Tract 1232; Cuyahoga County; Ohio","2677","373",
"1400000US39035123400","Census Tract 1234; Cuyahoga County; Ohio","3422","370",
"1400000US39035123501","Census Tract 1235.01; Cuyahoga County; Ohio","3326","652",
"1400000US39035123502","Census Tract 1235.02; Cuyahoga County; Ohio","2730","511",
"1400000US39035123601","Census Tract 1236.01; Cuyahoga County; Ohio","3126","518",
"1400000US39035123602","Census Tract 1236.02; Cuyahoga County; Ohio","3341","911",
"1400000US39035123603","Census Tract 1236.03; Cuyahoga County; Ohio","2469","202",
"1400000US39035123700","Census Tract 1237; Cuyahoga County; Ohio","2605","323",
"1400000US39035123800","Census Tract 1238; Cuyahoga County; Ohio","2354","376",
"1400000US39035123900","Census Tract 1239; Cuyahoga County; Ohio","3191","635",
"1400000US39035124100","Census Tract 1241; Cuyahoga County; Ohio","5508","1229",
"1400000US39035124201","Census Tract 1242.01; Cuyahoga County; Ohio","2644","444",
"1400000US39035124202","Census Tract 1242.02; Cuyahoga County; Ohio","1697","247",
"1400000US39035124300","Census Tract 1243; Cuyahoga County; Ohio","4116","679",
